Position,"Track Name",Artist,URL
1,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
2,SFSG,UTAH,https://open.spotify.com/track/6J7lUqQLQGlyvLIwKhxaM7
3,Understand,"Julian Lamadrid",https://open.spotify.com/track/2CazBu94sEbgEfmz06wOtD
4,Automaton,Jamiroquai,https://open.spotify.com/track/6twol6GKjrxZ4sBr5Xg6WY
5,Deli,"Norm Ender",https://open.spotify.com/track/4dJLA7HqWrug6FU9fGCgvP
6,"Tú Sí Sabes Quererme","Natalia Lafourcade",https://open.spotify.com/track/2gvhbU2mvwxITWzCI0q9CS
7,"Lo Niego Todo","Joaquín Sabina",https://open.spotify.com/track/4OpjKvt0ZXA117dqzOrV1y
8,Issues,"Julia Michaels",https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
9,"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling",https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6
10,"Scared to Be Lonely","Martin Garrix",https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
11,"Shape of You","Ed Sheeran",https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X
12,"Otra Vez","Felix Gabriel",https://open.spotify.com/track/4kdpq7Ez7T2cn75Jem2PEv
13,"Another Day Of Sun - From ""La La Land"" Soundtrack","La La Land Cast",https://open.spotify.com/track/0zCfmceT1YvtZXGbR6Roht
14,"Todo Dia","Pabllo Vittar",https://open.spotify.com/track/3iDY4SzUHPkC3WTXpfxXJG
15,"Look at Me!",XXXTENTACION,https://open.spotify.com/track/2oUuLLKS8WbF7ELJcwbqms
16,"Sultan's Curse",Mastodon,https://open.spotify.com/track/60S9ymObD44uj4KTDUGIXV
17,"Cave Me In",Gallant,https://open.spotify.com/track/79ptYtWnpAnsQutzg2xSFk
18,"Show You The Way",Thundercat,https://open.spotify.com/track/6LzsF8g3MnyspvcPvlBcC3
19,"Young Blood","Noah Kahan",https://open.spotify.com/track/1UOuZs8BPGMM6Ls0jP6BjQ
20,"City Of Stars - From ""La La Land"" Soundtrack/Pier","Ryan Gosling",https://open.spotify.com/track/7jltqRIyxLXBDNZ1QlmnBp
21,"Old School","Urban Cone",https://open.spotify.com/track/41kE0bBBpwPUZEZKxSIROh
22,"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack","Justin Hurwitz",https://open.spotify.com/track/1R17cgUv6HeQFa78dzqb7s
23,"Me Rehúso","Danny Ocean",https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
24,Body,Syd,https://open.spotify.com/track/5PNa1MjGan22iWil3F4zv6
25,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
26,Darling,"Real Estate",https://open.spotify.com/track/7Lpi2otSpwKiTpFsdDKEzP
27,"Epilogue - From ""La La Land"" Soundtrack","Justin Hurwitz",https://open.spotify.com/track/1WOmEg42Mgaz1nRimIMR9C
28,"Sooner Or Later","Aaron Carter",https://open.spotify.com/track/4mqvE5F95nKSUrUvUH3YB7
29,Down,"Marian Hill",https://open.spotify.com/track/5eCkuGPZNl4mISFNPgr3Dd
30,Goodbye,2NE1,https://open.spotify.com/track/1CSceRZ3QvI4JczMF1PAil
31,"Pure Comedy","Father John Misty",https://open.spotify.com/track/7EqHqILVR6yZE8hCSZodt0
32,Gone,"Linus Hablot",https://open.spotify.com/track/4Bi8YFSws4fwEsk1LG4KEF
33,Alibi,Clans,https://open.spotify.com/track/2O0tF4uRKhsKRDO3TGI5ev
34,"Audition (The Fools Who Dream) - From ""La La Land"" Soundtrack","Emma Stone",https://open.spotify.com/track/2lDWYLNnfYyXngjz4plpy2
35,Nevermind,"Dennis Lloyd",https://open.spotify.com/track/3PHjgrovCBjQQl5Np5YQBy
36,Skin,"Rag'n'Bone Man",https://open.spotify.com/track/1mS18wsyQxHl7YLZ1Y3mqs
37,"Qué Bonito","Vicky Corbacho",https://open.spotify.com/track/4qWUU3P3ScUdNL7FXQajfS
38,"I'm Better (feat. Lamb)","Missy Elliott",https://open.spotify.com/track/2Kf9fwIOwZwd6Aw7OxfkF0
39,"Eternally Yours","Motionless In White",https://open.spotify.com/track/4IgWyUK9Y7lnWBocThbVRB
40,"Be About You","Winston Surfshirt",https://open.spotify.com/track/0tDLcm4PaXUsqJRAkG8MYY
41,"İhanetten Geri Kalan","Sezen Aksu",https://open.spotify.com/track/6n7CEaECHbDo4J00iVx0Gh
42,"El Amante","Nicky Jam",https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
43,"(No One Knows Me) Like the Piano",Sampha,https://open.spotify.com/track/528cn9VuUcjioySL0258gV
44,"Round and round (feat. Han Suji)",HEIZE,https://open.spotify.com/track/3vAncbML0jhNrp63DKhsCo
45,Anymore,Goldfrapp,https://open.spotify.com/track/0fFLERZov57zY8WJzKhNLW
46,"Burning Man",watt,https://open.spotify.com/track/6REbB4VXol3q3iiCjvojL5
47,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
48,Paris,"The Chainsmokers",https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg
49,"Someone In The Crowd - From ""La La Land"" Soundtrack","Emma Stone",https://open.spotify.com/track/7xE4vKvjqUTtHyJ9zi0k1q
50,"Te pegar",IZA,https://open.spotify.com/track/0yiGUyoytztVjyetmEv6DW
