,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,6260680,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
2,"No Brainer","DJ Khaled",3309559,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
3,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,3293568,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
4,"Girls Like You (feat. Cardi B)","Maroon 5",3252688,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
5,"SICKO MODE","Travis Scott",3066054,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
6,"Lucid Dreams","Juice WRLD",2908522,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,"I Like It","Cardi B",2851220,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
8,"Eastside (with Halsey & Khalid)","benny blanco",2789618,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
9,SAD!,XXXTENTACION,2561857,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
10,"Solo (feat. Demi Lovato)","Clean Bandit",2517952,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
11,"Taste (feat. Offset)",Tyga,2498161,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
12,"In My Mind",Dynoro,2433444,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
13,"Better Now","Post Malone",2374597,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
14,Rise,"Jonas Blue",2358428,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
15,STARGAZING,"Travis Scott",2332028,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
16,"Jackie Chan",Tiësto,2312084,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
17,"God is a woman","Ariana Grande",2243529,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ
18,"One Kiss (with Dua Lipa)","Calvin Harris",2188114,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
19,"Te Boté - Remix","Nio Garcia",2131666,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
20,Youngblood,"5 Seconds of Summer",2122444,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
21,"Body (feat. brando)","Loud Luxury",1847074,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
22,Moonlight,XXXTENTACION,1806327,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
23,"Sin Pijama","Becky G",1784230,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
24,Nonstop,Drake,1746359,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
25,"God's Plan",Drake,1706038,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
26,"Vaina Loca",Ozuna,1669998,https://open.spotify.com/track/1s2B5cndbqK8rPJEIcKJRQ
27,"Happy Now",Zedd,1550042,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
28,2002,Anne-Marie,1485038,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
29,"No Es Justo","J Balvin",1477151,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
30,"Born To Be Yours",Kygo,1438668,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
31,"Beautiful (feat. Camila Cabello)",Bazzi,1429422,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
32,"Nice For What",Drake,1420048,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
33,Nevermind,"Dennis Lloyd",1413477,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
34,"Jocelyn Flores",XXXTENTACION,1382768,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
35,"Ocean (feat. Khalid)","Martin Garrix",1355932,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
36,"Psycho (feat. Ty Dolla $ign)","Post Malone",1344558,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
