Position,"Track Name",Artist,URL
1,"In My Feelings",Drake,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,"Three Lions","Baddiel, Skinner & Lightning Seeds",https://open.spotify.com/track/0Ai6qtPfiEYGCqBGJYWD1W
3,Gratitude,"Big Red Machine",https://open.spotify.com/track/62bzEnfwQagLRDFxUXCcj4
4,"1999 WILDFIRE",BROCKHAMPTON,https://open.spotify.com/track/1t4pPnbkOjzoA5RvsDjvUU
5,"Ocean (feat. Khalid)","Martin Garrix",https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
6,"Fight for Me",GAWVI,https://open.spotify.com/track/6ox0BtzYRNG5RmuWvHQeGE
7,"Freaking Out","A R I Z O N A",https://open.spotify.com/track/5boqkVlc0CWhfTjksnpc1X
8,"Drug Addicts","Lil Pump",https://open.spotify.com/track/6tpHfEM8eaETzlPOARYWfZ
9,"Magic In The Hamptons (feat. Lil Yachty)","Social House",https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
10,"Kream (feat. Tyga)","Iggy Azalea",https://open.spotify.com/track/7sP1vX19yRk9To0a7aJDzn
11,"Don’t Matter To Me",Drake,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
12,"Taste (feat. Offset)",Tyga,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
13,APESHIT,"The Carters",https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
14,Barcelona,"Max George",https://open.spotify.com/track/61qgjEMAT4vpGKPuFYNtlZ
15,"Millidelphia (feat. Swizz Beatz)","Meek Mill",https://open.spotify.com/track/1dQ84P0W0lOckT02lPEhhP
16,"Tequila - R3HAB Remix","Dan + Shay",https://open.spotify.com/track/2aAyDqzwEeVIigSMFM1tNS
17,"Girls Like You (feat. Cardi B)","Maroon 5",https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
18,Nonstop,Drake,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
19,"Better - SG Lewis x Clairo","SG Lewis",https://open.spotify.com/track/32T61xmNSIXhGkEszzs0t8
20,"Dangerous (feat. Jeremih and PnB Rock)","Meek Mill",https://open.spotify.com/track/1lL7Sj9AitQT7YWXs6obEq
21,"Lucid Dreams","Juice WRLD",https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
22,"Who Want The Smoke?","Lil Yachty",https://open.spotify.com/track/3LR0t8XqZ1FUj6nj01sXN0
23,"Boo'd Up","Ella Mai",https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
24,Original,Arcangel,https://open.spotify.com/track/1LBlcCtOrKITXpEp1hnNpj
25,"Boo'd Up (with Nicki Minaj & Quavo) - Remix","Ella Mai",https://open.spotify.com/track/1kcEx8qhKKHjHkM4bj5s8F
26,SoulMate,"Justin Timberlake",https://open.spotify.com/track/4YLtrBhzjsI2LT6ybXQHeD
27,"Forever Always","Peter CottonTale",https://open.spotify.com/track/4B2kIC5F0kSVfTD5crzgm9
28,"Jackie Chan",Tiësto,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
29,"Doesn't matter","Christine and the Queens",https://open.spotify.com/track/3uIMdHPXykls7Wty4zxY3q
30,"Talk You Out Of It","Florida Georgia Line",https://open.spotify.com/track/4kKgn11J60MHCrfS4AfbIm
31,Connection,OneRepublic,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
32,Body,"Loud Luxury",https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
33,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
34,"No Good",Zonderling,https://open.spotify.com/track/5MISpOLjlHo6BO6sZD54hp
35,"Born To Be Yours",Kygo,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
36,"I Was in a Cult",teddy<3,https://open.spotify.com/track/2nCyWA5XFmMKKTL7aiGOzh
37,PettyWap,"Young M.A",https://open.spotify.com/track/113O9yo2Ayl4OsKfBdzbVh
38,"New Light","John Mayer",https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
39,"In My Mind",Dynoro,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
40,"She Got the Best of Me","Luke Combs",https://open.spotify.com/track/698eQRku24PIYPQPHItKlA
41,"Riverside 2099","Oliver Heldens",https://open.spotify.com/track/4gCeoAADi0gWPVbwLhhuqq
42,"Summer Days","A R I Z O N A",https://open.spotify.com/track/0bf2XtxP5RsUYqWdsjk58H
43,"WIFI LIT",Future,https://open.spotify.com/track/6WlxcZKpEV6Bwe9InoVhMp
44,"FSU (feat. GASHI & Rich The Kid)","Jay Park",https://open.spotify.com/track/1CN7RTg9hdBqqOLn4GC8Lr
45,Talk,"Why Don't We",https://open.spotify.com/track/4HYNtH7n3TrbbtRa94sA0K
46,"Bed (feat. Ariana Grande)","Nicki Minaj",https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
47,Timing,"YK Osiris",https://open.spotify.com/track/4YispFW4Atf5liJToaW01i
48,"I Don't Know About You","Chris Lane",https://open.spotify.com/track/7acgW25ap5tdsqvmtx2Zyt
49,"Try Not To Love You",Dzeko,https://open.spotify.com/track/3DiOnTOzRokGNlFaFUonCy
50,Rise,"Jonas Blue",https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
